model,balanced,threshold_mean,threshold_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,referral_rate_mean,referral_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std
DT,False,0.25,0.0,0.8235744628867767,0.015174489875761017,0.2565254450925449,0.05183273187954695,0.3425925925925926,0.08255812268577319,0.29288344392636445,0.06298014329522712,0.3206357247079136,0.07328574524874334,0.14269064957992464,0.013334644520475726,0.17587653673542364,0.036497262687245104,0.6152286617045917,0.043253057893777244
DT,True,0.718,0.13863621460498693,0.8223875332986553,0.008481300990526765,0.28562687689097743,0.023544078207413447,0.43888888888888894,0.050967996090825494,0.34577144371262014,0.03201960742392789,0.3960891410119391,0.04137986039208081,0.16451801673996308,0.010855519771605097,0.19002786616983097,0.023054404492537248,0.655366648814183,0.025534745222387387
LR,False,0.506,0.028809720581775895,0.7805124052269037,0.013492436746564463,0.2870671766939991,0.012813129762827636,0.7037037037037037,0.03761128891035171,0.40744079683768913,0.013919078536519585,0.5448641045773591,0.019536084768302327,0.26314548162859974,0.01887324503710533,0.3880130115457664,0.02665602637418155,0.8139333942148799,0.024102736418144467
LR,True,0.44800000000000006,0.07155417527999326,0.7406109613656783,0.036073477877387856,0.2590554407764614,0.02948313447411891,0.75,0.045830995076905856,0.384480394830866,0.03646738285477558,0.5427102094897829,0.03993030116568244,0.31297110701281505,0.03556044517049488,0.3780037964255073,0.03144884798006142,0.8114266148486887,0.02517208639434492
NN,False,0.08199999999999999,0.013038404810405297,0.3425227770684573,0.0376106066731296,0.12355920155840146,0.002398980929077966,0.8425925925925926,0.055940027655530404,0.21543107695139735,0.004369975337940026,0.3890744252773767,0.011384913969152937,0.7309072602890876,0.04890291458103105,0.13611771686692162,0.015062194835928204,0.5919544532791351,0.017080329130140976
NN,True,0.374,0.12095453691366853,0.7900360177172491,0.031249639750554312,0.2955739222662141,0.04252198537956609,0.6685185185185185,0.0410969278169855,0.4080944023451763,0.03807491775216038,0.5313784504835354,0.030242890154925733,0.2460821865985719,0.0346871961579144,0.41220231114716055,0.0638861643254007,0.8149553733686721,0.03213850181988784
RF,False,0.25,0.012247448713915898,0.7866665484465882,0.016140607005531316,0.30566225686479337,0.012790979022575241,0.774074074074074,0.04067756043794223,0.43776511219506214,0.011004011289280522,0.591674933118716,0.015038457864566071,0.2720738560237071,0.023761218305593593,0.46366832511236994,0.01956979253357355,0.8516048364208976,0.010892772515819918
RF,True,0.21600000000000003,0.005477225575051664,0.7584824876657053,0.009676133466368723,0.2790535206156834,0.01217696646421285,0.7907407407407407,0.025017140900196813,0.4124970454219553,0.016385196606204407,0.5785127493229506,0.020551283812133697,0.3038313157106603,0.006476412767182251,0.456062269430401,0.029372071301132934,0.84842737014607,0.01085658931694653
