model,balanced,threshold_mean,accuracy,precision,recall,f1,f2,referral_rate,auprc,auroc,tp,fp,fn,tn
RF,False,0.25,0.7866640206390156,0.30488694383661563,0.774074074074074,0.43746729461015177,0.5919003115264797,0.27207779321293907,0.45596847641470123,0.8514342693438048,418,953,122,3546
RF,True,0.21600000000000003,0.7584838261559833,0.278902677988243,0.7907407407407407,0.4123611781747948,0.5784340287185045,0.3038301250248065,0.44598147421826584,0.8481722275732055,427,1104,113,3395
LR,False,0.506,0.7805120063504664,0.2865761689291101,0.7037037037037037,0.40728831725616294,0.5450372920252439,0.26314744989085137,0.37773904608580194,0.8139656549192001,380,946,160,3553
LR,True,0.44800000000000006,0.7406231395118079,0.2568167406467977,0.75,0.3826169107227208,0.5418785121755418,0.3129589204207184,0.3691992945168187,0.8118125015435529,405,1172,135,3327
NN,True,0.374,0.7900377058940266,0.2911290322580645,0.6685185185185185,0.40561797752808987,0.5308823529411765,0.2460805715419726,0.39425581820378475,0.8132317469725784,361,879,179,3620
DT,True,0.718,0.8223853939273665,0.2858866103739445,0.4388888888888889,0.3462381300219138,0.39645366343258615,0.16451676920023814,0.18898677375727005,0.6552766870004033,237,592,303,3907
NN,False,0.08199999999999999,0.34252827942051994,0.12354059190877002,0.8425925925925926,0.21548662088562634,0.3893547835016259,0.7308989878944235,0.1304065446133078,0.591662756332683,455,3228,85,1271
DT,False,0.25,0.8235761063703115,0.2573018080667594,0.3425925925925926,0.29388403494837173,0.3212921153178187,0.14268704107957927,0.17158515821451464,0.6151276415335095,185,534,355,3965
